REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,01-01-18 0:00,7034.74,88
NSW1,01-01-18 0:30,6912.25,91.86
NSW1,01-01-18 1:00,6745.63,88.83
NSW1,01-01-18 1:30,6466.06,73.62
NSW1,01-01-18 2:00,6279.8,71.49
NSW1,01-01-18 2:30,6177.31,69.27
NSW1,01-01-18 3:00,6050.43,68.44
NSW1,01-01-18 3:30,6032.48,69.67
NSW1,01-01-18 4:00,5968.5,67.58
NSW1,01-01-18 4:30,5953.75,67.09
NSW1,01-01-18 5:00,5962.18,67.53
NSW1,01-01-18 5:30,5991.69,65.8
NSW1,01-01-18 6:00,6062.03,61.53
NSW1,01-01-18 6:30,6204.87,66.62
NSW1,01-01-18 7:00,6352.58,68.42
NSW1,01-01-18 7:30,6548.03,69.02
NSW1,01-01-18 8:00,6728.17,69
NSW1,01-01-18 8:30,6885.22,68.88
NSW1,01-01-18 9:00,7080.7,69.22
NSW1,01-01-18 9:30,7281.71,74.04
NSW1,01-01-18 10:00,7474.62,75.15
NSW1,01-01-18 10:30,7663.88,75.2
NSW1,01-01-18 11:00,7764.89,80.66
NSW1,01-01-18 11:30,7813.63,77.93
NSW1,01-01-18 12:00,7815.47,71.48
NSW1,01-01-18 12:30,7804.96,70.47
NSW1,01-01-18 13:00,7901.26,76.55
NSW1,01-01-18 13:30,7938.72,83.84
NSW1,01-01-18 14:00,8000.7,85.14
NSW1,01-01-18 14:30,8090.72,84.88
NSW1,01-01-18 15:00,8210.88,82.54
NSW1,01-01-18 15:30,8365.1,87.06
NSW1,01-01-18 16:00,8512.21,95.05
NSW1,01-01-18 16:30,8601.46,90.84
NSW1,01-01-18 17:00,8747.49,91.46
NSW1,01-01-18 17:30,8693.3,81.83
NSW1,01-01-18 18:00,8672.52,79.93
NSW1,01-01-18 18:30,8531.94,72.77
NSW1,01-01-18 19:00,8279.37,74.45
NSW1,01-01-18 19:30,8189.38,71.73
NSW1,01-01-18 20:00,8161.52,76.95
NSW1,01-01-18 20:30,8122.2,78.91
NSW1,01-01-18 21:00,7957.58,69.42
NSW1,01-01-18 21:30,7860.28,71.31
NSW1,01-01-18 22:00,7648.52,66.1
NSW1,01-01-18 22:30,7567.13,65.72
NSW1,01-01-18 23:00,7336.37,62.37
NSW1,01-01-18 23:30,7123.26,62.84
NSW1,08-01-18 0:00,7890.98,60.75
NSW1,08-01-18 0:30,7641.48,75.58
NSW1,08-01-18 1:00,7367.35,75.68
NSW1,08-01-18 1:30,7000.75,56.93
NSW1,08-01-18 2:00,6796.19,54.78
NSW1,08-01-18 2:30,6757.94,54.68
NSW1,08-01-18 3:00,6714.42,54.84
NSW1,08-01-18 3:30,6770.79,54.99
NSW1,08-01-18 4:00,6811.19,54.98
NSW1,08-01-18 4:30,6962.23,55.28
NSW1,08-01-18 5:00,7131.61,61.77
NSW1,08-01-18 5:30,7493.16,64.93
NSW1,08-01-18 6:00,7893.7,63.52
NSW1,08-01-18 6:30,8283.58,65.75
NSW1,08-01-18 7:00,8768.46,79.3
NSW1,08-01-18 7:30,9117.54,74.86
NSW1,08-01-18 8:00,9440.42,79.43
NSW1,08-01-18 8:30,9671.71,83.94
NSW1,08-01-18 9:00,9837.54,85.4
NSW1,08-01-18 9:30,10020.58,84.83
NSW1,08-01-18 10:00,10227.82,85.53
NSW1,08-01-18 10:30,10390.69,91.44
NSW1,08-01-18 11:00,10614.45,99.43
NSW1,08-01-18 11:30,10748.03,95.23
NSW1,08-01-18 12:00,10882.88,94.34
NSW1,08-01-18 12:30,11169.31,103.01
NSW1,08-01-18 13:00,11387.35,108.01
NSW1,08-01-18 13:30,11694.5,113.84
NSW1,08-01-18 14:00,11735.67,108.22
NSW1,08-01-18 14:30,11937.04,100.07
NSW1,08-01-18 15:00,12087.21,105.34
NSW1,08-01-18 15:30,12088.8,98.47
NSW1,08-01-18 16:00,12074.11,104.75
NSW1,08-01-18 16:30,11923.99,100.84
NSW1,08-01-18 17:00,11658.7,101.19
NSW1,08-01-18 17:30,11237.98,90.7
NSW1,08-01-18 18:00,11119.9,91.8
NSW1,08-01-18 18:30,10819.54,88.7
NSW1,08-01-18 19:00,10576.93,89.24
NSW1,08-01-18 19:30,10476.65,91.5
NSW1,08-01-18 20:00,10344.17,91.14
NSW1,08-01-18 20:30,10099.21,90.45
NSW1,08-01-18 21:00,9751.26,87.39
NSW1,08-01-18 21:30,9523.54,87.3
NSW1,08-01-18 22:00,9115.1,77.91
NSW1,08-01-18 22:30,8919.67,84.64
NSW1,08-01-18 23:00,8563.93,82.39
NSW1,08-01-18 23:30,8240.65,84.84
NSW1,15-01-18 0:00,6686.76,55.85
NSW1,15-01-18 0:30,6556.62,57.85
NSW1,15-01-18 1:00,6402.14,54.38
NSW1,15-01-18 1:30,6164.8,54.4
NSW1,15-01-18 2:00,6031.76,56.87
NSW1,15-01-18 2:30,5957.69,66.75
NSW1,15-01-18 3:00,5928.88,67.39
NSW1,15-01-18 3:30,5910.06,68.53
NSW1,15-01-18 4:00,6005.73,68.91
NSW1,15-01-18 4:30,6261.64,59.78
NSW1,15-01-18 5:00,6453.91,57.71
NSW1,15-01-18 5:30,6789.68,57.55
NSW1,15-01-18 6:00,7174.05,58.8
NSW1,15-01-18 6:30,7403.03,58.13
NSW1,15-01-18 7:00,7620.36,59.58
NSW1,15-01-18 7:30,7836.55,60
NSW1,15-01-18 8:00,7856.41,59.72
NSW1,15-01-18 8:30,7889.31,60.6
NSW1,15-01-18 9:00,7890.2,60.89
NSW1,15-01-18 9:30,7899.89,59.88
NSW1,15-01-18 10:00,7895.83,59.54
NSW1,15-01-18 10:30,7854.67,58.9
NSW1,15-01-18 11:00,7854.55,59.29
NSW1,15-01-18 11:30,7839.93,60.35
NSW1,15-01-18 12:00,7863.62,59.54
NSW1,15-01-18 12:30,7901.79,60.3
NSW1,15-01-18 13:00,7889.48,59.8
NSW1,15-01-18 13:30,7931.27,62.11
NSW1,15-01-18 14:00,7896.68,61.89
NSW1,15-01-18 14:30,7933.69,61.15
NSW1,15-01-18 15:00,8085.39,61.63
NSW1,15-01-18 15:30,8140.32,65.37
NSW1,15-01-18 16:00,8292.67,71.68
NSW1,15-01-18 16:30,8415.46,69.29
NSW1,15-01-18 17:00,8508.66,73.67
NSW1,15-01-18 17:30,8440.41,69.9
NSW1,15-01-18 18:00,8545.31,78.07
NSW1,15-01-18 18:30,8409.68,73.93
NSW1,15-01-18 19:00,8315.5,76.73
NSW1,15-01-18 19:30,8265.34,77.58
NSW1,15-01-18 20:00,8272.21,78.95
NSW1,15-01-18 20:30,8242.73,75.93
NSW1,15-01-18 21:00,7992.97,61.56
NSW1,15-01-18 21:30,7923.31,60.15
NSW1,15-01-18 22:00,7721.34,63.81
NSW1,15-01-18 22:30,7655.07,68.23
NSW1,15-01-18 23:00,7581.28,67.59
NSW1,15-01-18 23:30,7375.96,63.62
NSW1,22-01-18 0:00,7381.58,56.98
NSW1,22-01-18 0:30,7127.57,56.53
NSW1,22-01-18 1:00,6965.96,55.27
NSW1,22-01-18 1:30,6709.57,56.67
NSW1,22-01-18 2:00,6573.97,66.9
NSW1,22-01-18 2:30,6487.78,68.51
NSW1,22-01-18 3:00,6449.08,70.97
NSW1,22-01-18 3:30,6398.31,68.1
NSW1,22-01-18 4:00,6481.18,60.15
NSW1,22-01-18 4:30,6705.65,57.18
NSW1,22-01-18 5:00,6907.59,59.91
NSW1,22-01-18 5:30,7274.28,59.78
NSW1,22-01-18 6:00,7734.44,66.95
NSW1,22-01-18 6:30,8172.42,68.31
NSW1,22-01-18 7:00,8533.08,84.13
NSW1,22-01-18 7:30,8774.65,71.51
NSW1,22-01-18 8:00,9010.5,76.07
NSW1,22-01-18 8:30,9261.07,86.61
NSW1,22-01-18 9:00,9435.26,90.39
NSW1,22-01-18 9:30,9715.7,103.74
NSW1,22-01-18 10:00,9996.32,106.9
NSW1,22-01-18 10:30,10205.65,111.9
NSW1,22-01-18 11:00,10468.95,136.39
NSW1,22-01-18 11:30,10709.91,105.31
NSW1,22-01-18 12:00,11044.67,110.99
NSW1,22-01-18 12:30,11272.31,102.08
NSW1,22-01-18 13:00,11599.24,107.27
NSW1,22-01-18 13:30,11712.78,104.06
NSW1,22-01-18 14:00,11928.56,114.56
NSW1,22-01-18 14:30,12112.34,115.45
NSW1,22-01-18 15:00,12305.5,115.85
NSW1,22-01-18 15:30,12426.46,150.74
NSW1,22-01-18 16:00,12494.58,156.43
NSW1,22-01-18 16:30,12403.1,127.89
NSW1,22-01-18 17:00,12221.02,113.24
NSW1,22-01-18 17:30,11795.45,97.01
NSW1,22-01-18 18:00,11568.05,92.02
NSW1,22-01-18 18:30,11236.74,90.43
NSW1,22-01-18 19:00,10881.57,91.33
NSW1,22-01-18 19:30,10654.03,91.97
NSW1,22-01-18 20:00,10486.26,92.14
NSW1,22-01-18 20:30,10162.48,90.64
NSW1,22-01-18 21:00,9756.58,85.2
NSW1,22-01-18 21:30,9404.53,77.27
NSW1,22-01-18 22:00,9063.06,70.63
NSW1,22-01-18 22:30,8790.08,91.76
NSW1,22-01-18 23:00,8485.78,74.33
NSW1,22-01-18 23:30,8123.24,59.1
NSW1,29-01-18 0:00,7423.36,58.03
NSW1,29-01-18 0:30,7265.01,64.59
NSW1,29-01-18 1:00,7088.96,66.85
NSW1,29-01-18 1:30,6827.54,71.23
NSW1,29-01-18 2:00,6687.84,69.93
NSW1,29-01-18 2:30,6626.95,70.6
NSW1,29-01-18 3:00,6586.32,66.58
NSW1,29-01-18 3:30,6595.89,68.91
NSW1,29-01-18 4:00,6635.67,69
NSW1,29-01-18 4:30,6868.01,77.52
NSW1,29-01-18 5:00,7063.15,83.67
NSW1,29-01-18 5:30,7566.45,91.61
NSW1,29-01-18 6:00,8026.43,83.66
NSW1,29-01-18 6:30,8431.75,71.08
NSW1,29-01-18 7:00,8871.47,95.59
NSW1,29-01-18 7:30,9238.71,100.66
NSW1,29-01-18 8:00,9489.71,121.39
NSW1,29-01-18 8:30,9732.55,115.43
NSW1,29-01-18 9:00,9773.66,106.03
NSW1,29-01-18 9:30,9885.47,97.87
NSW1,29-01-18 10:00,9966.74,97.46
NSW1,29-01-18 10:30,10006.61,97.06
NSW1,29-01-18 11:00,10058.85,112.63
NSW1,29-01-18 11:30,10175.19,106.06
NSW1,29-01-18 12:00,10335.99,108.6
NSW1,29-01-18 12:30,10465.11,105.84
NSW1,29-01-18 13:00,10602.92,113.36
NSW1,29-01-18 13:30,10705.75,110.04
NSW1,29-01-18 14:00,10875.12,101.29
NSW1,29-01-18 14:30,10970.89,95.79
NSW1,29-01-18 15:00,11175.03,97.97
NSW1,29-01-18 15:30,11316.93,100.5
NSW1,29-01-18 16:00,11485.18,100.42
NSW1,29-01-18 16:30,11496.53,98.55
NSW1,29-01-18 17:00,11527.25,102.97
NSW1,29-01-18 17:30,11295.77,95.31
NSW1,29-01-18 18:00,11157.39,94.18
NSW1,29-01-18 18:30,10744.16,96.35
NSW1,29-01-18 19:00,10434.37,100.59
NSW1,29-01-18 19:30,10193.38,102.75
NSW1,29-01-18 20:00,10061.34,94.51
NSW1,29-01-18 20:30,9771.73,88.02
NSW1,29-01-18 21:00,9497.83,65.77
NSW1,29-01-18 21:30,9177.89,63.34
NSW1,29-01-18 22:00,8939.31,69.68
NSW1,29-01-18 22:30,8696.66,66.25
NSW1,29-01-18 23:00,8478.53,65.37
NSW1,29-01-18 23:30,8137.89,64.8
NSW1,05-02-18 0:00,6750.37,47.83
NSW1,05-02-18 0:30,6662.8,56.82
NSW1,05-02-18 1:00,6563.43,53.42
NSW1,05-02-18 1:30,6337.13,72.11
NSW1,05-02-18 2:00,6139.72,74.11
NSW1,05-02-18 2:30,6038.5,68.87
NSW1,05-02-18 3:00,6011.28,69.1
NSW1,05-02-18 3:30,6054.31,69.61
NSW1,05-02-18 4:00,6143.1,76.03
NSW1,05-02-18 4:30,6364.15,83.81
NSW1,05-02-18 5:00,6542.97,99.02
NSW1,05-02-18 5:30,7100.44,108.93
NSW1,05-02-18 6:00,7555.88,96.17
NSW1,05-02-18 6:30,7876.67,87.66
NSW1,05-02-18 7:00,8132.86,97.58
NSW1,05-02-18 7:30,8227.4,80.38
NSW1,05-02-18 8:00,8251.62,78.77
NSW1,05-02-18 8:30,8264.62,83.91
NSW1,05-02-18 9:00,8333.22,87.4
NSW1,05-02-18 9:30,8289.2,88.8
NSW1,05-02-18 10:00,8323.68,93.01
NSW1,05-02-18 10:30,8372.96,95.12
NSW1,05-02-18 11:00,8390.18,104.08
NSW1,05-02-18 11:30,8373.2,91.78
NSW1,05-02-18 12:00,8377.7,80.58
NSW1,05-02-18 12:30,8441.09,89.55
NSW1,05-02-18 13:00,8556.08,96.93
NSW1,05-02-18 13:30,8661.3,100.08
NSW1,05-02-18 14:00,8777.1,86.92
NSW1,05-02-18 14:30,8828.34,83.78
NSW1,05-02-18 15:00,8939.22,79.24
NSW1,05-02-18 15:30,9134.65,87.29
NSW1,05-02-18 16:00,9208.72,98.77
NSW1,05-02-18 16:30,9343.11,91.36
NSW1,05-02-18 17:00,9391.51,95.5
NSW1,05-02-18 17:30,9187.78,88.01
NSW1,05-02-18 18:00,9162.12,86.67
NSW1,05-02-18 18:30,8934.51,77.77
NSW1,05-02-18 19:00,8805.84,89.61
NSW1,05-02-18 19:30,8740.86,87.64
NSW1,05-02-18 20:00,8657.2,77.72
NSW1,05-02-18 20:30,8482.72,69.16
NSW1,05-02-18 21:00,8168.8,70.42
NSW1,05-02-18 21:30,8076.01,63.33
NSW1,05-02-18 22:00,7873.11,52.93
NSW1,05-02-18 22:30,7766.8,65.77
NSW1,05-02-18 23:00,7580.67,65.13
NSW1,05-02-18 23:30,7374.4,62.1
NSW1,12-02-18 0:00,7103,64.08
NSW1,12-02-18 0:30,6976.32,69.26
NSW1,12-02-18 1:00,6853.89,66.65
NSW1,12-02-18 1:30,6613.62,65.39
NSW1,12-02-18 2:00,6480.74,68.35
NSW1,12-02-18 2:30,6435.6,71.87
NSW1,12-02-18 3:00,6330.33,71.46
NSW1,12-02-18 3:30,6369.16,68.71
NSW1,12-02-18 4:00,6435.96,71.48
NSW1,12-02-18 4:30,6676.24,66.64
NSW1,12-02-18 5:00,6987.7,64.7
NSW1,12-02-18 5:30,7512.06,65.6
NSW1,12-02-18 6:00,7932.77,68.69
NSW1,12-02-18 6:30,8373.22,69.89
NSW1,12-02-18 7:00,8683.42,76.56
NSW1,12-02-18 7:30,8864.87,67.43
NSW1,12-02-18 8:00,9004.56,70.14
NSW1,12-02-18 8:30,9200.33,72.84
NSW1,12-02-18 9:00,9239.56,74.25
NSW1,12-02-18 9:30,9323.17,78.58
NSW1,12-02-18 10:00,9386.45,87.39
NSW1,12-02-18 10:30,9399.48,81.71
NSW1,12-02-18 11:00,9515.16,85.13
NSW1,12-02-18 11:30,9515.63,80.29
NSW1,12-02-18 12:00,9695.09,85.01
NSW1,12-02-18 12:30,9845.24,86.79
NSW1,12-02-18 13:00,10000.57,98.06
NSW1,12-02-18 13:30,10150.2,91.31
NSW1,12-02-18 14:00,10231.44,103.12
NSW1,12-02-18 14:30,10375.47,102.31
NSW1,12-02-18 15:00,10652.97,102.05
NSW1,12-02-18 15:30,10768.62,105.66
NSW1,12-02-18 16:00,10824.9,104.19
NSW1,12-02-18 16:30,10782.76,101.22
NSW1,12-02-18 17:00,10612.46,97.5
NSW1,12-02-18 17:30,10390.11,91.77
NSW1,12-02-18 18:00,10152.69,88.73
NSW1,12-02-18 18:30,9904.88,79.99
NSW1,12-02-18 19:00,9696.34,86.42
NSW1,12-02-18 19:30,9741.82,90.93
NSW1,12-02-18 20:00,9630.09,82.61
NSW1,12-02-18 20:30,9331.53,78.05
NSW1,12-02-18 21:00,9041.32,77.4
NSW1,12-02-18 21:30,8833.09,75.75
NSW1,12-02-18 22:00,8530.44,69.32
NSW1,12-02-18 22:30,8446.2,82.42
NSW1,12-02-18 23:00,8175.74,81.5
NSW1,12-02-18 23:30,7911.76,73.33
NSW1,19-02-18 0:00,7363.56,63.26
NSW1,19-02-18 0:30,7163.17,63.97
NSW1,19-02-18 1:00,7041.81,58.81
NSW1,19-02-18 1:30,6744.84,49.77
NSW1,19-02-18 2:00,6581.38,53.17
NSW1,19-02-18 2:30,6486.69,61.86
NSW1,19-02-18 3:00,6440.83,57.85
NSW1,19-02-18 3:30,6446.4,57.6
NSW1,19-02-18 4:00,6580.84,61.3
NSW1,19-02-18 4:30,6812.22,61.74
NSW1,19-02-18 5:00,7027.36,65.73
NSW1,19-02-18 5:30,7581.6,83.34
NSW1,19-02-18 6:00,8081.99,80.29
NSW1,19-02-18 6:30,8538.05,72.03
NSW1,19-02-18 7:00,8921.4,83.8
NSW1,19-02-18 7:30,9198.37,69.76
NSW1,19-02-18 8:00,9391.04,69.09
NSW1,19-02-18 8:30,9492.8,69.07
NSW1,19-02-18 9:00,9524.31,68.62
NSW1,19-02-18 9:30,9583.99,68.51
NSW1,19-02-18 10:00,9695.58,72.5
NSW1,19-02-18 10:30,9755.86,76.29
NSW1,19-02-18 11:00,9700.66,74.25
NSW1,19-02-18 11:30,9746.98,77.66
NSW1,19-02-18 12:00,9755.78,83.91
NSW1,19-02-18 12:30,9798.07,85.07
NSW1,19-02-18 13:00,9888.17,85.01
NSW1,19-02-18 13:30,9991.05,86.3
NSW1,19-02-18 14:00,9979.14,86.36
NSW1,19-02-18 14:30,9970.45,85.19
NSW1,19-02-18 15:00,10077.39,87.69
NSW1,19-02-18 15:30,10181.12,91.44
NSW1,19-02-18 16:00,10201.6,98.78
NSW1,19-02-18 16:30,10057.03,82.87
NSW1,19-02-18 17:00,9976.24,84.95
NSW1,19-02-18 17:30,9694.86,84.2
NSW1,19-02-18 18:00,9569.73,78.33
NSW1,19-02-18 18:30,9312.41,72.14
NSW1,19-02-18 19:00,9301.24,79.69
NSW1,19-02-18 19:30,9181.3,81.15
NSW1,19-02-18 20:00,8920.26,81.74
NSW1,19-02-18 20:30,8728.82,81.07
NSW1,19-02-18 21:00,8439.74,69.45
NSW1,19-02-18 21:30,8337.22,62.72
NSW1,19-02-18 22:00,8101.35,56.31
NSW1,19-02-18 22:30,7984.39,61.21
NSW1,19-02-18 23:00,7748.38,56.42
NSW1,19-02-18 23:30,7563.69,63.17
NSW1,26-02-18 0:00,6607.9,61.2
NSW1,26-02-18 0:30,6536.23,60.57
NSW1,26-02-18 1:00,6425.7,59.54
NSW1,26-02-18 1:30,6147.89,48.94
NSW1,26-02-18 2:00,5995.15,55.28
NSW1,26-02-18 2:30,5924.25,60.23
NSW1,26-02-18 3:00,5884.23,58.63
NSW1,26-02-18 3:30,5954.18,55.84
NSW1,26-02-18 4:00,6074.07,57.48
NSW1,26-02-18 4:30,6277.5,60.15
NSW1,26-02-18 5:00,6517.83,66.54
NSW1,26-02-18 5:30,7133.2,87.33
NSW1,26-02-18 6:00,7657.96,88.13
NSW1,26-02-18 6:30,8026.82,87.2
NSW1,26-02-18 7:00,8236.83,91.34
NSW1,26-02-18 7:30,8332.58,72.69
NSW1,26-02-18 8:00,8399.95,82.21
NSW1,26-02-18 8:30,8462.01,84.45
NSW1,26-02-18 9:00,8465.36,81.84
NSW1,26-02-18 9:30,8497.02,82.58
NSW1,26-02-18 10:00,8460.02,83.27
NSW1,26-02-18 10:30,8435.39,81.9
NSW1,26-02-18 11:00,8361.63,81.31
NSW1,26-02-18 11:30,8345.91,81.54
NSW1,26-02-18 12:00,8333.35,76.27
NSW1,26-02-18 12:30,8279.66,73.64
NSW1,26-02-18 13:00,8369.42,78.86
NSW1,26-02-18 13:30,8373.6,80.18
NSW1,26-02-18 14:00,8363.7,80.3
NSW1,26-02-18 14:30,8281.5,73.59
NSW1,26-02-18 15:00,8348.83,74.3
NSW1,26-02-18 15:30,8411.91,75.97
NSW1,26-02-18 16:00,8384.7,73
NSW1,26-02-18 16:30,8412.2,79.4
NSW1,26-02-18 17:00,8541.75,76.69
NSW1,26-02-18 17:30,8558.14,75.61
NSW1,26-02-18 18:00,8563.3,77.23
NSW1,26-02-18 18:30,8484.63,75.83
NSW1,26-02-18 19:00,8417.62,75.44
NSW1,26-02-18 19:30,8406.84,68.78
NSW1,26-02-18 20:00,8185.62,68.86
NSW1,26-02-18 20:30,7999.43,66.06
NSW1,26-02-18 21:00,7745.85,61.24
NSW1,26-02-18 21:30,7629.07,61.94
NSW1,26-02-18 22:00,7493.63,60.41
NSW1,26-02-18 22:30,7462.75,62.25
NSW1,26-02-18 23:00,7387.64,68.33
NSW1,26-02-18 23:30,7256.21,69.43
NSW1,05-03-18 0:00,6902.89,62.09
NSW1,05-03-18 0:30,6778.27,63.6
NSW1,05-03-18 1:00,6666.35,61.43
NSW1,05-03-18 1:30,6424.58,60.85
NSW1,05-03-18 2:00,6266.91,61.88
NSW1,05-03-18 2:30,6213.19,61.3
NSW1,05-03-18 3:00,6216.99,61.95
NSW1,05-03-18 3:30,6230.05,63.36
NSW1,05-03-18 4:00,6330.89,61.41
NSW1,05-03-18 4:30,6580.89,61.56
NSW1,05-03-18 5:00,6860.42,62.19
NSW1,05-03-18 5:30,7446.82,73.86
NSW1,05-03-18 6:00,7994.77,78.09
NSW1,05-03-18 6:30,8440.28,82.02
NSW1,05-03-18 7:00,8754.22,87.05
NSW1,05-03-18 7:30,8905.14,81.66
NSW1,05-03-18 8:00,8931.82,79.41
NSW1,05-03-18 8:30,9070.85,82.98
NSW1,05-03-18 9:00,9101.29,78.32
NSW1,05-03-18 9:30,9126.72,76.94
NSW1,05-03-18 10:00,9075.18,74.36
NSW1,05-03-18 10:30,8962.49,76.86
NSW1,05-03-18 11:00,8980.22,80.54
NSW1,05-03-18 11:30,9045.64,81.66
NSW1,05-03-18 12:00,9098.92,77.55
NSW1,05-03-18 12:30,9105.18,77.4
NSW1,05-03-18 13:00,9086.26,77.75
NSW1,05-03-18 13:30,9011.27,75.16
NSW1,05-03-18 14:00,8874.95,73.86
NSW1,05-03-18 14:30,8745.69,66.08
NSW1,05-03-18 15:00,8784.16,69.78
NSW1,05-03-18 15:30,8866.24,72.67
NSW1,05-03-18 16:00,8876.97,67.01
NSW1,05-03-18 16:30,8928.79,69.82
NSW1,05-03-18 17:00,8968.73,65.2
NSW1,05-03-18 17:30,8854.78,66.56
NSW1,05-03-18 18:00,8816.45,67.89
NSW1,05-03-18 18:30,8615.48,62.28
NSW1,05-03-18 19:00,8540.23,62.46
NSW1,05-03-18 19:30,8417.86,64.38
NSW1,05-03-18 20:00,8172.96,65.54
NSW1,05-03-18 20:30,7949.47,62.36
NSW1,05-03-18 21:00,7751.59,61.47
NSW1,05-03-18 21:30,7697.87,61.2
NSW1,05-03-18 22:00,7485.16,58.33
NSW1,05-03-18 22:30,7473.03,59.41
NSW1,05-03-18 23:00,7329.62,62.77
NSW1,05-03-18 23:30,7175.34,64.28
NSW1,12-03-18 0:00,6626.61,58.18
NSW1,12-03-18 0:30,6471.88,57.96
NSW1,12-03-18 1:00,6290.81,56.76
NSW1,12-03-18 1:30,6097.71,58.58
NSW1,12-03-18 2:00,5964.6,60.09
NSW1,12-03-18 2:30,5868.66,57.01
NSW1,12-03-18 3:00,5833.62,50.02
NSW1,12-03-18 3:30,5904.99,56.02
NSW1,12-03-18 4:00,5976.03,57.84
NSW1,12-03-18 4:30,6177.56,55.84
NSW1,12-03-18 5:00,6424.77,60.3
NSW1,12-03-18 5:30,6940.33,62.36
NSW1,12-03-18 6:00,7467.52,59.94
NSW1,12-03-18 6:30,7770.12,61.21
NSW1,12-03-18 7:00,8034.47,62.65
NSW1,12-03-18 7:30,8150.93,62.34
NSW1,12-03-18 8:00,8128.8,62.07
NSW1,12-03-18 8:30,8260.13,62.66
NSW1,12-03-18 9:00,8287.73,62.58
NSW1,12-03-18 9:30,8288.51,62.5
NSW1,12-03-18 10:00,8312.52,62.44
NSW1,12-03-18 10:30,8256.59,61.83
NSW1,12-03-18 11:00,8272.31,62.03
NSW1,12-03-18 11:30,8290.84,62.61
NSW1,12-03-18 12:00,8305.66,62.68
NSW1,12-03-18 12:30,8353.07,62.53
NSW1,12-03-18 13:00,8428.29,62.45
NSW1,12-03-18 13:30,8560.58,62.79
NSW1,12-03-18 14:00,8596.98,62.65
NSW1,12-03-18 14:30,8663.51,62.74
NSW1,12-03-18 15:00,8875.18,62.75
NSW1,12-03-18 15:30,9024.84,63.39
NSW1,12-03-18 16:00,9149.34,62.65
NSW1,12-03-18 16:30,9151.8,63.77
NSW1,12-03-18 17:00,9188.33,65.5
NSW1,12-03-18 17:30,9034.78,63.04
NSW1,12-03-18 18:00,8961.74,62.56
NSW1,12-03-18 18:30,8853.16,62.74
NSW1,12-03-18 19:00,8817.53,62.93
NSW1,12-03-18 19:30,8664.1,62.46
NSW1,12-03-18 20:00,8479.81,62.56
NSW1,12-03-18 20:30,8266.58,62.56
NSW1,12-03-18 21:00,8023.59,59.67
NSW1,12-03-18 21:30,7917.91,60.9
NSW1,12-03-18 22:00,7740.04,58
NSW1,12-03-18 22:30,7704.98,61.33
NSW1,12-03-18 23:00,7561,63.5
NSW1,12-03-18 23:30,7406.26,64.46
NSW1,19-03-18 0:00,7476.85,62.91
NSW1,19-03-18 0:30,7291.41,62.11
NSW1,19-03-18 1:00,7097.68,61.15
NSW1,19-03-18 1:30,6812.29,61.81
NSW1,19-03-18 2:00,6629,59.03
NSW1,19-03-18 2:30,6486.03,62.46
NSW1,19-03-18 3:00,6397.25,63.88
NSW1,19-03-18 3:30,6429.15,65.96
NSW1,19-03-18 4:00,6491.71,67.92
NSW1,19-03-18 4:30,6694.72,69.18
NSW1,19-03-18 5:00,6969.64,70.51
NSW1,19-03-18 5:30,7507.77,76.48
NSW1,19-03-18 6:00,7943.43,74.28
NSW1,19-03-18 6:30,8372.5,76.4
NSW1,19-03-18 7:00,8642.7,77.68
NSW1,19-03-18 7:30,8820.7,68.92
NSW1,19-03-18 8:00,8775.63,68.55
NSW1,19-03-18 8:30,8932.48,69.15
NSW1,19-03-18 9:00,9031.97,71.31
NSW1,19-03-18 9:30,8998.77,67.87
NSW1,19-03-18 10:00,8958.28,67.7
NSW1,19-03-18 10:30,8925.35,67.05
NSW1,19-03-18 11:00,9011.18,66.53
NSW1,19-03-18 11:30,9129.69,65.63
NSW1,19-03-18 12:00,9303.85,67.32
NSW1,19-03-18 12:30,9476.17,68.32
NSW1,19-03-18 13:00,9747.5,70.86
NSW1,19-03-18 13:30,9945.16,83.1
NSW1,19-03-18 14:00,10136.59,82.28
NSW1,19-03-18 14:30,10320.37,88.63
NSW1,19-03-18 15:00,10625.3,90.73
NSW1,19-03-18 15:30,10854.75,99.76
NSW1,19-03-18 16:00,11071.48,110.75
NSW1,19-03-18 16:30,11139.84,109.95
NSW1,19-03-18 17:00,11144.14,118.48
NSW1,19-03-18 17:30,10967.14,115.13
NSW1,19-03-18 18:00,10701.81,98.21
NSW1,19-03-18 18:30,10491.05,96.88
NSW1,19-03-18 19:00,10366.86,104.4
NSW1,19-03-18 19:30,10017.01,88.83
NSW1,19-03-18 20:00,9689.08,77.15
NSW1,19-03-18 20:30,9283.99,69.11
NSW1,19-03-18 21:00,8941.54,68.11
NSW1,19-03-18 21:30,8754.64,67.3
NSW1,19-03-18 22:00,8408.74,63.65
NSW1,19-03-18 22:30,8285.09,70.42
NSW1,19-03-18 23:00,7979.82,63.07
NSW1,19-03-18 23:30,7705.64,62.4
NSW1,26-03-18 0:00,6523.18,41.08
NSW1,26-03-18 0:30,6429.23,38.66
NSW1,26-03-18 1:00,6302.96,32.22
NSW1,26-03-18 1:30,6038.84,43.68
NSW1,26-03-18 2:00,5895.99,42.32
NSW1,26-03-18 2:30,5807.44,32.41
